from,to,distance
Έβρος,Ροδόπη,58
Ροδόπη,Ξάνθη,50
Ξάνθη,Δράμα,87
Ξάνθη,Καβάλα,53
Δράμα,Καβάλα,37
Σέρρες,Καβάλα,88
Δράμα,Σέρρες,70
Σέρρες,Κιλκίς,75
Σέρρες,Θεσσαλονίκη,85
Κιλκίς,Θεσσαλονίκη,48
Θεσσαλονίκη,Χαλκιδική,61
Κιλκίς,Πέλλα,105
Πέλλα,Ημαθία,48
Θεσσαλονίκη,Πέλλα,95
Θεσσαλονίκη,Ημαθία,73
Ημαθία,Πιερία,69
Ημαθία,Κοζάνη,60
Πιερία,Κοζάνη,94
Πέλλα,Φλώρινα,77
Πέλλα,Κοζάνη,85
Φλώρινα,Κοζάνη,82
Φλώρινα,Καστοριά,69
Καστοριά,Κοζάνη,73
Κοζάνη,Γρεβενά,47
Γρεβενά,Καστοριά,68
Καστοριά,Ιωάννινα,164
Γρεβενά,Ιωάννινα,99
Ιωάννινα,Θεσπρωτία,78
Ιωάννινα,Άρτα,69
Ιωάννινα,Πρέβεζα,99
Θεσπρωτία,Πρέβεζα,85
Πρέβεζα,Άρτα,51
Ιωάννινα,Τρίκαλα,127
Άρτα,Τρίκαλα,154
Άρτα,Καρδίτσα,159
Τρίκαλα,Καρδίτσα,27
Τρίκαλα,Γρεβενά,87
Τρίκαλα,Λάρισα,61
Λάρισα,Πιερία,83
Λάρισα,Μαγνησία,60
Λάρισα,Καρδίτσα,56
Λάρισα,Κοζάνη,121
Λάρισα,Γρεβενά,137
Ευρυτανία,Καρδίτσα,119
Ευρυτανία,Αιτωλοακαρνανία,81
Ευρυτανία,Φθιώτιδα,73
Άρτα,Αιτωλοακαρνανία,91
Φθιώτιδα,Αιτωλοακαρνανία,151
Αιτωλοακαρνανία,Φωκίδα,166
Φωκίδα,Φθιώτιδα,73
Φωκίδα,Βοιωτία,69
Φθιώτιδα,Καρδίτσα,91
Φθιώτιδα,Μαγνησία,123
Φθιώτιδα,Λάρισα,111
Βοιωτία,Εύβοια,105
Βοιωτία,Αττική,151
Αιτωλοακαρνανία,Πρέβεζα,98
Αιτωλοακαρνανία,Λευκάδα,98
Αττική,Κορινθία,83
Κορινθία,Αργολίδα,48
Κορινθία,Αχαΐα,140
Κορινθία,Αρκαδία,79
Αχαΐα,Αρκαδία,168
Αχαΐα,Ηλεία,96
Αχαΐα,Αιτωλοακαρνανία,88
Ηλεία,Αρκαδία,131
Ηλεία,Μεσσηνία,117
Αρκαδία,Αργολίδα,54
Αρκαδία,Λακωνία,57
Αρκαδία,Μεσσηνία,89
Μεσσηνία,Λακωνία,58
Χανιά,Ρέθυμνο,68
Ρέθυμνο,Ηράκλειο,80
Ηράκλειο,Λασίθι,63
