year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
1921,0.895823438,0.425660938,229911.9141,0.236783594,0.32233011,0.215814063,-17.0954375,0.077257813,100.3977578,0.425494531,0.3515625
1922,0.939236111,0.48,167904.5417,0.23702625,0.440469941,0.238647222,-19.17995833,0.115419444,101.3761389,0.534055556,0.138888889
1923,0.976328941,0.568461538,178356.3018,0.246936095,0.401932482,0.236655621,-14.37388166,0.098618935,112.4565976,0.624787574,5.727810651
1924,0.935574544,0.548654008,188461.6498,0.347032911,0.583954695,0.237874684,-14.2023038,0.090209705,120.6533586,0.66857384,0.603375527
1925,0.965422053,0.571889734,184130.6996,0.264372624,0.408893408,0.243093536,-14.51670722,0.115457414,115.6717148,0.616430418,2.707224335
1926,0.740919594,0.558295195,170391.5011,0.239194931,0.468505274,0.234052517,-16.41062128,0.306672426,108.4965732,0.495961453,1.613272311
1927,0.934606323,0.649959732,185163.1997,0.256158725,0.402275784,0.167778523,-14.72681208,0.116197483,114.6114648,0.66065906,0.832214765
1928,0.946188006,0.529695689,217498.3119,0.207142747,0.516979011,0.177988335,-17.31619273,0.135313271,106.195246,0.492953593,1.536770921
1929,0.591110509,0.647005087,169983.4253,0.24051342,0.21946126,0.235988312,-16.60708874,0.485278355,111.3539881,0.638207684,0.327922078
1930,0.943474167,0.510382249,195908.5595,0.327300193,0.36337664,0.217320397,-12.6859344,0.07970237,110.2143556,0.618458159,0.871554576
1931,0.875893523,0.556093523,179379.5735,0.25843397,0.3320111,0.239117852,-15.90358136,0.233181517,108.0102812,0.571312954,0.211690363
1932,0.940087683,0.560050939,193462.6848,0.305478497,0.226417916,0.236319833,-13.28890605,0.141776409,116.225833,0.593601879,1.542797495
1933,0.90501086,0.603766399,192454.0386,0.287360611,0.130555862,0.210155466,-12.76876527,0.096170579,115.0536817,0.635153376,7.069131833
1934,0.89285375,0.529833935,187911.9964,0.259990614,0.273865077,0.216328159,-14.86393863,0.104409386,115.988287,0.564255054,1.046931408
1935,0.781330269,0.553363892,222171.395,0.244698444,0.226478907,0.228123175,-15.49448015,0.354805122,110.6644155,0.541963636,1.362996159
1936,0.795903499,0.532999905,248519.7163,0.306197884,0.301756586,0.225570209,-13.79590512,0.21486518,109.9816414,0.551709013,5.010436433
1937,0.899630872,0.556888087,205470.5755,0.286996191,0.335733979,0.21799094,-13.42102013,0.086466779,114.5911695,0.594564933,3.55033557
1938,0.916126527,0.486981771,244455.0191,0.283627083,0.364127209,0.234537847,-14.30434896,0.098390278,112.1711233,0.521627795,2.03125
1939,0.882833908,0.513091892,215190.8509,0.295648348,0.266189946,0.234701101,-13.81899299,0.127324525,113.99699,0.562476577,4.22022022
1940,0.84711055,0.52163935,182824.4695,0.309803345,0.315485537,0.2643472,-13.728306,0.2440925,108.3076335,0.61590747,0.827
1941,0.899570549,0.480442133,202571.4762,0.261471915,0.448217661,0.200939648,-15.90931988,0.09385559,107.395087,0.480071325,1.240165631
1942,0.851035543,0.465813948,221935.6568,0.257303499,0.390266735,0.213301516,-15.03001092,0.08263493,106.1970297,0.473810612,0.953911461
1943,0.915794006,0.467497003,216915.6751,0.275160773,0.395795039,0.235692744,-13.59756151,0.113055205,106.3444227,0.517023975,1.184542587
1944,0.893705469,0.507083485,247493.1795,0.260940793,0.439483379,0.235994278,-14.48940442,0.171819506,107.2329311,0.548159168,2.678803641
1945,0.701386808,0.52003165,194490.685,0.227028101,0.270448321,0.20299625,-17.0140425,0.31295845,108.120676,0.49426055,1.7565
